x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.156403,-0.978699,-0.132812,0.999976,4314.693133,2000-12-31 17:11:54.693 -0800
-0.121780,-0.983932,-0.147141,1.002299,4314.663588,2000-12-31 17:11:54.664 -0800
-0.103760,-0.970337,-0.102188,0.981204,4314.634042,2000-12-31 17:11:54.634 -0800
-0.135925,-0.970947,-0.124817,0.988329,4314.604476,2000-12-31 17:11:54.604 -0800
-0.104980,-0.979294,-0.117294,0.991865,4314.574949,2000-12-31 17:11:54.575 -0800
-0.119492,-0.969177,-0.126724,0.984704,4314.545401,2000-12-31 17:11:54.545 -0800
-0.121841,-0.974899,-0.124771,0.990375,4314.515853,2000-12-31 17:11:54.516 -0800
-0.113922,-0.968338,-0.137283,0.984634,4314.486307,2000-12-31 17:11:54.486 -0800
-0.144974,-0.964417,-0.151001,0.986873,4314.456762,2000-12-31 17:11:54.457 -0800
-0.211731,-0.971161,-0.153305,1.005727,4314.427192,2000-12-31 17:11:54.427 -0800
-0.104599,-0.959717,-0.141891,0.975772,4314.397676,2000-12-31 17:11:54.398 -0800
-0.086578,-0.964996,-0.119446,0.976207,4314.368129,2000-12-31 17:11:54.368 -0800
-0.126389,-0.982101,-0.144150,1.000638,4314.338584,2000-12-31 17:11:54.339 -0800
-0.094269,-0.985580,-0.129456,0.998506,4314.309036,2000-12-31 17:11:54.309 -0800
-0.110382,-0.974213,-0.124374,0.988303,4314.279491,2000-12-31 17:11:54.279 -0800
-0.118881,-0.973007,-0.120728,0.987649,4314.249942,2000-12-31 17:11:54.250 -0800
-0.099487,-0.971771,-0.111176,0.983157,4314.220405,2000-12-31 17:11:54.220 -0800
-0.106003,-0.978714,-0.113174,0.990922,4314.190862,2000-12-31 17:11:54.191 -0800
-0.084335,-0.977219,-0.118011,0.987925,4314.161316,2000-12-31 17:11:54.161 -0800
-0.089523,-0.978683,-0.123703,0.990524,4314.131771,2000-12-31 17:11:54.132 -0800
-0.069946,-0.985992,-0.139725,0.998297,4314.102225,2000-12-31 17:11:54.102 -0800
-0.100830,-0.970840,-0.126312,0.984202,4314.072678,2000-12-31 17:11:54.073 -0800
-0.082504,-0.978607,-0.132004,0.990911,4314.043135,2000-12-31 17:11:54.043 -0800
-0.062042,-0.972534,-0.134720,0.983779,4314.013593,2000-12-31 17:11:54.014 -0800
-0.102493,-0.972046,-0.115845,0.984275,4313.984049,2000-12-31 17:11:53.984 -0800
-0.108536,-0.978317,-0.124222,0.992127,4313.954505,2000-12-31 17:11:53.955 -0800
-0.083084,-0.977173,-0.133270,0.989712,4313.924963,2000-12-31 17:11:53.925 -0800
-0.105255,-0.979141,-0.135666,0.994083,4313.895419,2000-12-31 17:11:53.895 -0800
-0.079010,-0.968750,-0.142593,0.982371,4313.865875,2000-12-31 17:11:53.866 -0800
-0.087433,-0.979523,-0.126907,0.991572,4313.836334,2000-12-31 17:11:53.836 -0800
-0.063065,-0.976456,-0.133942,0.987615,4313.806791,2000-12-31 17:11:53.807 -0800
-0.071854,-0.975769,-0.137909,0.988083,4313.777246,2000-12-31 17:11:53.777 -0800
-0.064041,-0.971222,-0.124832,0.981303,4313.747700,2000-12-31 17:11:53.748 -0800
-0.072372,-0.978912,-0.146347,0.992434,4313.718153,2000-12-31 17:11:53.718 -0800
-0.092438,-0.966293,-0.143677,0.981280,4313.688607,2000-12-31 17:11:53.689 -0800
-0.070450,-0.967896,-0.132660,0.979481,4313.659061,2000-12-31 17:11:53.659 -0800
-0.092697,-0.968994,-0.151382,0.985119,4313.629514,2000-12-31 17:11:53.630 -0800
-0.058777,-0.968079,-0.177383,0.985949,4313.599968,2000-12-31 17:11:53.600 -0800
-0.136276,-0.960098,-0.130203,0.978424,4313.570423,2000-12-31 17:11:53.570 -0800
-0.122589,-0.986618,-0.157349,1.006579,4313.540878,2000-12-31 17:11:53.541 -0800
-0.122665,-0.969666,-0.125595,0.985430,4313.511332,2000-12-31 17:11:53.511 -0800
-0.130325,-0.982254,-0.152054,1.002461,4313.481784,2000-12-31 17:11:53.482 -0800
-0.122421,-0.964111,-0.147812,0.983029,4313.452235,2000-12-31 17:11:53.452 -0800
-0.115646,-0.985504,-0.162430,1.005473,4313.422690,2000-12-31 17:11:53.423 -0800
-0.125366,-0.966766,-0.123596,0.982665,4313.393145,2000-12-31 17:11:53.393 -0800
-0.144699,-0.968231,-0.145737,0.989772,4313.363601,2000-12-31 17:11:53.364 -0800
-0.130173,-0.979752,-0.144714,0.998900,4313.334055,2000-12-31 17:11:53.334 -0800
-0.070587,-0.977112,-0.110367,0.985855,4313.304511,2000-12-31 17:11:53.305 -0800
-0.128601,-0.950912,-0.093140,0.964079,4313.274965,2000-12-31 17:11:53.275 -0800
-0.165619,-0.955811,-0.159714,0.983113,4313.245417,2000-12-31 17:11:53.245 -0800
-0.127579,-0.960388,-0.168381,0.983348,4313.215876,2000-12-31 17:11:53.216 -0800
-0.200577,-0.971436,-0.135315,1.001113,4313.186333,2000-12-31 17:11:53.186 -0800
-0.218185,-0.951416,-0.172058,0.991162,4313.156791,2000-12-31 17:11:53.157 -0800
-0.137375,-0.981750,-0.114822,0.997943,4313.127246,2000-12-31 17:11:53.127 -0800
-0.123367,-0.965271,-0.084274,0.976765,4313.097701,2000-12-31 17:11:53.098 -0800
-0.189240,-0.967560,-0.161743,0.999072,4313.068153,2000-12-31 17:11:53.068 -0800
-0.259628,-0.967239,-0.170624,1.015909,4313.038589,2000-12-31 17:11:53.039 -0800
-0.236038,-0.930664,-0.189240,0.978602,4313.009054,2000-12-31 17:11:53.009 -0800
-0.222015,-0.962082,-0.209213,1.009288,4312.979506,2000-12-31 17:11:52.980 -0800
