x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.025406,-0.999908,-0.007172,1.000257,2568.910336,2000-12-31 16:42:48.910 -0800
-0.054138,-0.991928,0.008194,0.993438,2568.880821,2000-12-31 16:42:48.881 -0800
-0.043228,-0.992737,0.006592,0.993699,2568.851283,2000-12-31 16:42:48.851 -0800
-0.071075,-0.980209,0.008591,0.982820,2568.821748,2000-12-31 16:42:48.822 -0800
-0.058258,-0.991943,0.011780,0.993722,2568.792213,2000-12-31 16:42:48.792 -0800
-0.047714,-0.987762,-0.006378,0.988935,2568.762677,2000-12-31 16:42:48.763 -0800
-0.028229,-0.984665,0.007034,0.985095,2568.733140,2000-12-31 16:42:48.733 -0800
-0.118500,-0.971771,0.032013,0.979493,2568.703601,2000-12-31 16:42:48.704 -0800
-0.072571,-1.010757,0.013748,1.013453,2568.674061,2000-12-31 16:42:48.674 -0800
0.015533,-0.997223,-0.020981,0.997565,2568.644523,2000-12-31 16:42:48.645 -0800
0.060501,-1.004211,-0.034210,1.006614,2568.614984,2000-12-31 16:42:48.615 -0800
-0.050827,-0.970230,-0.000214,0.971561,2568.585447,2000-12-31 16:42:48.585 -0800
-0.096680,-0.969833,0.003723,0.974647,2568.555907,2000-12-31 16:42:48.556 -0800
0.008286,-1.010742,-0.000381,1.010776,2568.526370,2000-12-31 16:42:48.526 -0800
-0.043747,-0.983841,0.007996,0.984846,2568.496833,2000-12-31 16:42:48.497 -0800
-0.004913,-1.002777,-0.000519,1.002789,2568.467295,2000-12-31 16:42:48.467 -0800
-0.022736,-0.992126,-0.020660,0.992602,2568.437750,2000-12-31 16:42:48.438 -0800
-0.032196,-0.973083,-0.002213,0.973618,2568.408216,2000-12-31 16:42:48.408 -0800
0.001587,-0.976791,-0.007889,0.976825,2568.378676,2000-12-31 16:42:48.379 -0800
-0.005341,-1.000717,-0.020065,1.000933,2568.349137,2000-12-31 16:42:48.349 -0800
-0.023193,-0.971252,-0.017578,0.971688,2568.319598,2000-12-31 16:42:48.320 -0800
-0.029724,-0.998077,-0.031799,0.999026,2568.290062,2000-12-31 16:42:48.290 -0800
-0.055405,-0.981232,-0.017929,0.982958,2568.260522,2000-12-31 16:42:48.261 -0800
-0.039642,-1.044327,-0.022888,1.045330,2568.230989,2000-12-31 16:42:48.231 -0800
-0.083633,-0.905533,-0.003906,0.909395,2568.201452,2000-12-31 16:42:48.201 -0800
-0.036346,-1.014481,-0.001999,1.015133,2568.171914,2000-12-31 16:42:48.172 -0800
-0.026215,-0.965820,0.009613,0.966224,2568.142379,2000-12-31 16:42:48.142 -0800
-0.040726,-0.973419,0.023773,0.974561,2568.112846,2000-12-31 16:42:48.113 -0800
-0.031082,-0.959320,0.006760,0.959847,2568.083307,2000-12-31 16:42:48.083 -0800
-0.039230,-0.987228,-0.003113,0.988012,2568.053777,2000-12-31 16:42:48.054 -0800
-0.009872,-0.989304,0.021088,0.989578,2568.024241,2000-12-31 16:42:48.024 -0800
0.002090,-1.000031,0.023834,1.000317,2567.994706,2000-12-31 16:42:47.995 -0800
-0.085846,-0.986435,0.032928,0.990711,2567.965170,2000-12-31 16:42:47.965 -0800
-0.073364,-0.996109,0.042053,0.999692,2567.935634,2000-12-31 16:42:47.936 -0800
-0.113464,-0.973557,0.016357,0.980283,2567.906091,2000-12-31 16:42:47.906 -0800
-0.108093,-0.979034,0.019485,0.985176,2567.876561,2000-12-31 16:42:47.877 -0800
-0.060211,-0.998566,0.014618,1.000486,2567.847026,2000-12-31 16:42:47.847 -0800
-0.033524,-0.983429,0.016830,0.984144,2567.817490,2000-12-31 16:42:47.817 -0800
-0.047211,-0.992218,0.035858,0.993988,2567.787955,2000-12-31 16:42:47.788 -0800
-0.059998,-0.980026,0.046646,0.982968,2567.758424,2000-12-31 16:42:47.758 -0800
-0.017746,-1.005539,0.034073,1.006273,2567.728885,2000-12-31 16:42:47.729 -0800
-0.064972,-0.972473,0.062668,0.976654,2567.699358,2000-12-31 16:42:47.699 -0800
-0.082947,-0.986725,0.048447,0.991390,2567.669825,2000-12-31 16:42:47.670 -0800
-0.096909,-0.978302,0.028427,0.983501,2567.640293,2000-12-31 16:42:47.640 -0800
-0.105667,-0.993073,0.032562,0.999209,2567.610759,2000-12-31 16:42:47.611 -0800
-0.078690,-0.970276,0.035538,0.974110,2567.581224,2000-12-31 16:42:47.581 -0800
-0.075226,-0.994446,0.063889,0.999331,2567.551684,2000-12-31 16:42:47.552 -0800
-0.103912,-0.977982,0.034409,0.984088,2567.522156,2000-12-31 16:42:47.522 -0800
-0.031662,-0.995667,0.043930,0.997138,2567.492620,2000-12-31 16:42:47.493 -0800
-0.058380,-0.990860,0.028854,0.992998,2567.463082,2000-12-31 16:42:47.463 -0800
-0.054535,-1.000244,0.060181,1.003536,2567.433547,2000-12-31 16:42:47.434 -0800
-0.055771,-0.969086,0.048065,0.971878,2567.404009,2000-12-31 16:42:47.404 -0800
-0.060913,-1.001846,0.076553,1.006612,2567.374469,2000-12-31 16:42:47.374 -0800
-0.119232,-0.958405,0.044189,0.966803,2567.344939,2000-12-31 16:42:47.345 -0800
-0.041138,-1.003967,0.027222,1.005178,2567.315404,2000-12-31 16:42:47.315 -0800
-0.070694,-0.979462,0.065948,0.984222,2567.285870,2000-12-31 16:42:47.286 -0800
-0.122665,-0.972900,0.032120,0.981129,2567.256334,2000-12-31 16:42:47.256 -0800
-0.077682,-0.976410,0.014420,0.979601,2567.226801,2000-12-31 16:42:47.227 -0800
-0.070770,-0.983597,0.079269,0.989320,2567.197262,2000-12-31 16:42:47.197 -0800
-0.075333,-0.981354,0.048584,0.985439,2567.167732,2000-12-31 16:42:47.168 -0800
-0.037079,-0.997726,0.051315,0.999733,2567.138196,2000-12-31 16:42:47.138 -0800
0.015045,-0.980728,0.074539,0.983672,2567.108659,2000-12-31 16:42:47.109 -0800
-0.003052,-0.994232,0.115433,1.000915,2567.079128,2000-12-31 16:42:47.079 -0800
-0.091751,-0.990524,0.067932,0.997081,2567.049589,2000-12-31 16:42:47.050 -0800
-0.028442,-0.968597,0.023148,0.969291,2567.020048,2000-12-31 16:42:47.020 -0800
-0.062256,-1.013824,0.091492,1.019846,2566.990576,2000-12-31 16:42:46.991 -0800
-0.137146,-0.924454,0.091324,0.939023,2566.961038,2000-12-31 16:42:46.961 -0800
-0.089691,-0.977448,0.036591,0.982236,2566.931498,2000-12-31 16:42:46.931 -0800
-0.031723,-1.023621,0.060806,1.025916,2566.901959,2000-12-31 16:42:46.902 -0800
0.007004,-0.975388,0.077896,0.978518,2566.872420,2000-12-31 16:42:46.872 -0800
-0.061508,-0.996796,0.132477,1.007440,2566.842877,2000-12-31 16:42:46.843 -0800
