x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.232941,-1.010956,-0.068649,1.039714,4836.453772,2000-12-31 17:20:36.454 -0800
-0.132599,-0.975800,-0.130402,0.993364,4836.424225,2000-12-31 17:20:36.424 -0800
-0.144119,-0.972672,-0.112122,0.989662,4836.394678,2000-12-31 17:20:36.395 -0800
-0.128891,-0.974213,-0.102966,0.988082,4836.365129,2000-12-31 17:20:36.365 -0800
-0.138153,-0.977798,-0.106705,0.993258,4836.335576,2000-12-31 17:20:36.336 -0800
-0.151672,-0.963959,-0.099686,0.980897,4836.306035,2000-12-31 17:20:36.306 -0800
-0.153183,-0.970078,-0.103638,0.987551,4836.276490,2000-12-31 17:20:36.276 -0800
-0.139404,-0.976349,-0.098343,0.991142,4836.246944,2000-12-31 17:20:36.247 -0800
-0.142990,-0.974121,-0.114929,0.991245,4836.217400,2000-12-31 17:20:36.217 -0800
-0.124359,-0.975845,-0.116974,0.990668,4836.187853,2000-12-31 17:20:36.188 -0800
-0.147766,-0.970535,-0.092606,0.986078,4836.158306,2000-12-31 17:20:36.158 -0800
-0.134125,-0.975525,-0.083145,0.988206,4836.128759,2000-12-31 17:20:36.129 -0800
-0.123016,-0.979935,-0.093292,0.992022,4836.099211,2000-12-31 17:20:36.099 -0800
-0.134659,-0.970795,-0.099182,0.985095,4836.069665,2000-12-31 17:20:36.070 -0800
-0.148453,-0.977142,-0.103134,0.993721,4836.040120,2000-12-31 17:20:36.040 -0800
-0.130447,-0.967209,-0.103210,0.981408,4836.010575,2000-12-31 17:20:36.011 -0800
-0.143784,-0.974808,-0.098801,0.990296,4835.981024,2000-12-31 17:20:35.981 -0800
-0.137100,-0.972214,-0.113129,0.988329,4835.951478,2000-12-31 17:20:35.951 -0800
-0.134674,-0.974625,-0.098831,0.988837,4835.921931,2000-12-31 17:20:35.922 -0800
-0.136642,-0.974136,-0.109695,0.989771,4835.892383,2000-12-31 17:20:35.892 -0800
-0.144638,-0.971695,-0.114578,0.989060,4835.862836,2000-12-31 17:20:35.863 -0800
