x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.231964,-0.951370,-0.112549,0.985688,4952.808026,2000-12-31 17:22:32.808 -0800
-0.231537,-0.958145,-0.119064,0.992889,4952.778478,2000-12-31 17:22:32.778 -0800
-0.179871,-0.964600,-0.130447,0.989860,4952.748926,2000-12-31 17:22:32.749 -0800
-0.217712,-0.968567,-0.110977,0.998918,4952.719377,2000-12-31 17:22:32.719 -0800
-0.221405,-0.965286,-0.112381,0.996708,4952.689828,2000-12-31 17:22:32.690 -0800
-0.193497,-0.955078,-0.129257,0.983017,4952.660280,2000-12-31 17:22:32.660 -0800
-0.228821,-0.969589,-0.112228,1.002526,4952.630725,2000-12-31 17:22:32.631 -0800
-0.238510,-0.938309,-0.104767,0.973800,4952.601180,2000-12-31 17:22:32.601 -0800
-0.185837,-0.960098,-0.110901,0.984186,4952.571632,2000-12-31 17:22:32.572 -0800
-0.218887,-0.963806,-0.102066,0.993605,4952.542084,2000-12-31 17:22:32.542 -0800
-0.204178,-0.974457,-0.110107,1.001688,4952.512535,2000-12-31 17:22:32.513 -0800
-0.209457,-0.960480,-0.109970,0.989185,4952.482986,2000-12-31 17:22:32.483 -0800
-0.200821,-0.947357,-0.109726,0.974605,4952.453432,2000-12-31 17:22:32.453 -0800
-0.226196,-0.974594,-0.087616,1.004328,4952.423956,2000-12-31 17:22:32.424 -0800
-0.229218,-0.957779,-0.127823,0.993086,4952.394406,2000-12-31 17:22:32.394 -0800
-0.221298,-0.936966,-0.107330,0.968709,4952.364852,2000-12-31 17:22:32.365 -0800
-0.185394,-0.973633,-0.105438,0.996719,4952.335303,2000-12-31 17:22:32.335 -0800
-0.174255,-0.968521,-0.109009,0.990091,4952.305750,2000-12-31 17:22:32.306 -0800
-0.195694,-0.967010,-0.116516,0.993469,4952.276198,2000-12-31 17:22:32.276 -0800
-0.193695,-0.957001,-0.119308,0.983668,4952.246647,2000-12-31 17:22:32.247 -0800
-0.177948,-0.959564,-0.117310,0.982950,4952.217097,2000-12-31 17:22:32.217 -0800
-0.220840,-0.958481,-0.095230,0.988193,4952.187549,2000-12-31 17:22:32.188 -0800
-0.200592,-0.958664,-0.102524,0.984777,4952.157997,2000-12-31 17:22:32.158 -0800
-0.202301,-0.972458,-0.117065,1.000152,4952.128446,2000-12-31 17:22:32.128 -0800
-0.200653,-0.962418,-0.105164,0.988721,4952.098893,2000-12-31 17:22:32.099 -0800
-0.211746,-0.951721,-0.117935,0.982099,4952.069339,2000-12-31 17:22:32.069 -0800
-0.235504,-0.964706,-0.092010,0.997290,4952.039787,2000-12-31 17:22:32.040 -0800
-0.202332,-0.961716,-0.096436,0.987489,4952.010237,2000-12-31 17:22:32.010 -0800
-0.171509,-0.963028,-0.150909,0.989753,4951.980685,2000-12-31 17:22:31.981 -0800
-0.236374,-0.965546,-0.077133,0.997046,4951.951134,2000-12-31 17:22:31.951 -0800
-0.155212,-0.963898,-0.105713,0.982021,4951.921581,2000-12-31 17:22:31.922 -0800
-0.206894,-0.957901,-0.115952,0.986825,4951.892029,2000-12-31 17:22:31.892 -0800
-0.254333,-0.951553,-0.099350,0.989954,4951.862479,2000-12-31 17:22:31.862 -0800
-0.160370,-0.968292,-0.102066,0.986775,4951.832928,2000-12-31 17:22:31.833 -0800
-0.175064,-0.968521,-0.086624,0.988020,4951.803380,2000-12-31 17:22:31.803 -0800
-0.228622,-0.971100,-0.075470,1.000499,4951.773829,2000-12-31 17:22:31.774 -0800
