x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.144547,-0.987961,-0.130920,1.007026,4023.764076,2000-12-31 17:07:03.764 -0800
-0.109482,-0.974564,-0.157623,0.993280,4023.734536,2000-12-31 17:07:03.735 -0800
-0.121277,-0.976593,-0.148758,0.995274,4023.704988,2000-12-31 17:07:03.705 -0800
-0.120728,-0.977127,-0.154724,0.996640,4023.675441,2000-12-31 17:07:03.675 -0800
-0.131989,-0.975082,-0.153976,0.995949,4023.645894,2000-12-31 17:07:03.646 -0800
-0.106171,-0.964951,-0.163223,0.984400,4023.616347,2000-12-31 17:07:03.616 -0800
-0.123444,-0.954636,-0.162140,0.976144,4023.586798,2000-12-31 17:07:03.587 -0800
-0.137238,-0.968964,-0.152664,0.990470,4023.557250,2000-12-31 17:07:03.557 -0800
-0.126694,-0.963867,-0.164551,0.985986,4023.527702,2000-12-31 17:07:03.528 -0800
-0.120361,-0.975998,-0.182831,1.000243,4023.498153,2000-12-31 17:07:03.498 -0800
-0.082825,-0.981064,-0.175949,1.000152,4023.468605,2000-12-31 17:07:03.469 -0800
-0.115585,-0.970383,-0.172958,0.992430,4023.439056,2000-12-31 17:07:03.439 -0800
-0.124069,-0.971100,-0.143707,0.989485,4023.409509,2000-12-31 17:07:03.410 -0800
-0.112198,-0.970139,-0.144852,0.987289,4023.379960,2000-12-31 17:07:03.380 -0800
-0.106674,-0.979340,-0.170486,0.999776,4023.350412,2000-12-31 17:07:03.350 -0800
-0.106857,-0.974182,-0.176971,0.995876,4023.320865,2000-12-31 17:07:03.321 -0800
-0.117630,-0.965546,-0.177200,0.988694,4023.291316,2000-12-31 17:07:03.291 -0800
-0.120789,-0.969070,-0.173187,0.991807,4023.261767,2000-12-31 17:07:03.262 -0800
-0.123459,-0.965668,-0.148987,0.984862,4023.232219,2000-12-31 17:07:03.232 -0800
-0.122665,-0.968597,-0.159424,0.989264,4023.202671,2000-12-31 17:07:03.203 -0800
-0.134995,-0.969925,-0.136307,0.988715,4023.173124,2000-12-31 17:07:03.173 -0800
-0.156372,-0.962341,-0.151352,0.986641,4023.143576,2000-12-31 17:07:03.144 -0800
-0.133560,-0.959610,-0.175217,0.984576,4023.114029,2000-12-31 17:07:03.114 -0800
-0.127136,-0.970474,-0.189362,0.996916,4023.084482,2000-12-31 17:07:03.084 -0800
-0.134506,-0.982941,-0.178619,1.008052,4023.054933,2000-12-31 17:07:03.055 -0800
-0.135284,-0.973587,-0.144897,0.993564,4023.025387,2000-12-31 17:07:03.025 -0800
-0.122574,-0.977707,-0.143372,0.995736,4022.995838,2000-12-31 17:07:02.996 -0800
-0.115738,-0.972595,-0.080734,0.982779,4022.966291,2000-12-31 17:07:02.966 -0800
-0.117065,-1.001328,-0.133606,1.016962,4022.936744,2000-12-31 17:07:02.937 -0800
-0.120621,-0.958908,-0.171188,0.981509,4022.907197,2000-12-31 17:07:02.907 -0800
-0.183426,-0.951492,-0.208282,0.991143,4022.877651,2000-12-31 17:07:02.878 -0800
-0.221268,-0.934952,-0.209625,0.983380,4022.848101,2000-12-31 17:07:02.848 -0800
-0.126724,-0.957642,-0.160538,0.979239,4022.818555,2000-12-31 17:07:02.819 -0800
-0.062195,-0.983566,-0.085114,0.989199,4022.789007,2000-12-31 17:07:02.789 -0800
-0.096191,-0.974792,-0.045624,0.980589,4022.759460,2000-12-31 17:07:02.759 -0800
-0.123962,-0.970871,-0.089554,0.982841,4022.729914,2000-12-31 17:07:02.730 -0800
-0.136871,-0.988174,-0.084900,1.001215,4022.700367,2000-12-31 17:07:02.700 -0800
-0.123245,-0.985138,-0.059967,0.994627,4022.670820,2000-12-31 17:07:02.671 -0800
-0.102905,-0.990433,-0.023178,0.996034,4022.641273,2000-12-31 17:07:02.641 -0800
-0.046234,-0.990250,-0.051193,0.992649,4022.611724,2000-12-31 17:07:02.612 -0800
-0.056412,-0.980255,0.029648,0.982324,4022.582173,2000-12-31 17:07:02.582 -0800
-0.054489,-0.982834,-0.034164,0.984936,4022.552608,2000-12-31 17:07:02.553 -0800
-0.011551,-1.022888,-0.001038,1.022954,4022.523077,2000-12-31 17:07:02.523 -0800
0.016998,-0.992462,0.048050,0.993770,4022.493528,2000-12-31 17:07:02.494 -0800
-0.001114,-0.996307,0.020721,0.996523,4022.463983,2000-12-31 17:07:02.464 -0800
-0.115982,-0.972351,0.002304,0.979247,4022.434438,2000-12-31 17:07:02.434 -0800
-0.134171,-0.957901,0.007401,0.967280,4022.404891,2000-12-31 17:07:02.405 -0800
-0.122894,-1.021118,-0.025497,1.028803,4022.375325,2000-12-31 17:07:02.375 -0800
-0.055298,-1.004120,-0.036438,1.006301,4022.345798,2000-12-31 17:07:02.346 -0800
-0.088715,-0.978897,-0.020844,0.983130,4022.316256,2000-12-31 17:07:02.316 -0800
-0.139603,-0.954514,0.040970,0.965538,4022.286713,2000-12-31 17:07:02.287 -0800
-0.120529,-0.999527,-0.033142,1.007313,4022.257168,2000-12-31 17:07:02.257 -0800
-0.093399,-0.926788,-0.052643,0.932969,4022.227624,2000-12-31 17:07:02.228 -0800
-0.254318,-1.073547,-0.106049,1.108345,4022.198074,2000-12-31 17:07:02.198 -0800
