x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.140900,-0.966400,-0.091537,0.980898,4123.945044,2000-12-31 17:08:43.945 -0800
-0.150681,-0.983429,-0.111267,1.001108,4123.915505,2000-12-31 17:08:43.916 -0800
-0.145218,-0.955750,-0.129974,0.975417,4123.885964,2000-12-31 17:08:43.886 -0800
-0.136398,-0.978195,-0.071899,0.990273,4123.856421,2000-12-31 17:08:43.856 -0800
-0.123138,-0.969833,-0.104202,0.983157,4123.826875,2000-12-31 17:08:43.827 -0800
-0.138321,-0.971268,-0.097275,0.985878,4123.797328,2000-12-31 17:08:43.797 -0800
-0.144424,-0.965210,-0.110718,0.982215,4123.767783,2000-12-31 17:08:43.768 -0800
-0.138031,-0.977127,-0.108673,0.992794,4123.738236,2000-12-31 17:08:43.738 -0800
-0.103775,-0.994919,-0.095764,1.004890,4123.708694,2000-12-31 17:08:43.709 -0800
-0.139572,-0.971848,-0.114639,0.988489,4123.679151,2000-12-31 17:08:43.679 -0800
-0.123672,-0.976471,-0.114792,0.990943,4123.649604,2000-12-31 17:08:43.650 -0800
-0.124771,-0.968796,-0.119583,0.984090,4123.620059,2000-12-31 17:08:43.620 -0800
-0.139343,-0.981003,-0.119400,0.998018,4123.590515,2000-12-31 17:08:43.591 -0800
-0.121399,-0.969193,-0.120148,0.984128,4123.560973,2000-12-31 17:08:43.561 -0800
-0.121780,-0.980606,-0.111923,0.994457,4123.531435,2000-12-31 17:08:43.531 -0800
-0.119629,-0.971329,-0.110474,0.984883,4123.501892,2000-12-31 17:08:43.502 -0800
-0.133911,-0.984879,-0.128387,1.002198,4123.472350,2000-12-31 17:08:43.472 -0800
-0.122971,-0.970306,-0.131729,0.986899,4123.442809,2000-12-31 17:08:43.443 -0800
-0.135574,-0.973282,-0.110031,0.988820,4123.413269,2000-12-31 17:08:43.413 -0800
-0.145355,-0.965729,-0.128418,0.985013,4123.383730,2000-12-31 17:08:43.384 -0800
-0.141403,-0.978027,-0.108521,0.994137,4123.354189,2000-12-31 17:08:43.354 -0800
-0.126373,-0.967789,-0.120316,0.983393,4123.324649,2000-12-31 17:08:43.325 -0800
-0.123108,-0.976242,-0.120163,0.991284,4123.295108,2000-12-31 17:08:43.295 -0800
-0.123398,-0.970428,-0.116791,0.985190,4123.265565,2000-12-31 17:08:43.266 -0800
-0.128525,-0.974609,-0.106750,0.988826,4123.236022,2000-12-31 17:08:43.236 -0800
-0.123672,-0.968079,-0.096893,0.980744,4123.206478,2000-12-31 17:08:43.206 -0800
-0.142410,-0.981522,-0.126785,0.999870,4123.176932,2000-12-31 17:08:43.177 -0800
-0.127518,-0.975235,-0.100586,0.988667,4123.147384,2000-12-31 17:08:43.147 -0800
-0.145401,-0.963348,-0.111786,0.980652,4123.117840,2000-12-31 17:08:43.118 -0800
-0.157867,-0.967300,-0.098312,0.985017,4123.088294,2000-12-31 17:08:43.088 -0800
-0.161972,-0.970322,-0.110687,0.989955,4123.058747,2000-12-31 17:08:43.059 -0800
-0.160599,-0.974487,-0.098190,0.992501,4123.029202,2000-12-31 17:08:43.029 -0800
-0.168274,-0.972473,-0.119141,0.994090,4122.999657,2000-12-31 17:08:43.000 -0800
-0.122849,-0.969818,-0.106644,0.983368,4122.970115,2000-12-31 17:08:42.970 -0800
-0.196198,-0.964569,-0.089386,0.988371,4122.940571,2000-12-31 17:08:42.941 -0800
-0.141602,-0.959610,-0.099335,0.975074,4122.911025,2000-12-31 17:08:42.911 -0800
-0.119965,-0.970032,-0.070648,0.979972,4122.881479,2000-12-31 17:08:42.881 -0800
-0.143814,-0.960083,-0.087112,0.974695,4122.851934,2000-12-31 17:08:42.852 -0800
-0.211578,-0.947189,-0.140686,0.980676,4122.822393,2000-12-31 17:08:42.822 -0800
-0.181061,-0.979675,-0.126846,1.004309,4122.792852,2000-12-31 17:08:42.793 -0800
-0.148956,-0.969284,-0.120056,0.987984,4122.763311,2000-12-31 17:08:42.763 -0800
-0.208481,-0.970093,-0.072998,0.994924,4122.733768,2000-12-31 17:08:42.734 -0800
-0.205292,-0.971054,-0.121933,0.999979,4122.704226,2000-12-31 17:08:42.704 -0800
-0.168488,-0.952133,-0.079376,0.970178,4122.674683,2000-12-31 17:08:42.675 -0800
-0.200394,-0.982361,-0.060745,1.004430,4122.645141,2000-12-31 17:08:42.645 -0800
-0.140884,-0.971878,-0.044464,0.983042,4122.615594,2000-12-31 17:08:42.616 -0800
-0.093765,-0.999954,0.006195,1.004360,4122.586052,2000-12-31 17:08:42.586 -0800
-0.140472,-0.994064,-0.001724,1.003942,4122.556509,2000-12-31 17:08:42.557 -0800
-0.172836,-0.989975,-0.028900,1.005365,4122.526966,2000-12-31 17:08:42.527 -0800
-0.104691,-0.964706,-0.024231,0.970673,4122.497422,2000-12-31 17:08:42.497 -0800
-0.176727,-0.992767,-0.058655,1.010079,4122.467879,2000-12-31 17:08:42.468 -0800
-0.255112,-0.938950,-0.086060,0.976788,4122.438337,2000-12-31 17:08:42.438 -0800
-0.372330,-0.945618,-0.102051,1.021390,4122.408793,2000-12-31 17:08:42.409 -0800
-0.257889,-0.930923,-0.099243,0.971069,4122.379248,2000-12-31 17:08:42.379 -0800
-0.163635,-0.960068,-0.027756,0.974308,4122.349705,2000-12-31 17:08:42.350 -0800
-0.087296,-0.975723,-0.013855,0.979719,4122.320161,2000-12-31 17:08:42.320 -0800
-0.033386,-1.012390,0.000687,1.012941,4122.290615,2000-12-31 17:08:42.291 -0800
-0.262726,-0.932449,0.070404,0.971310,4122.261069,2000-12-31 17:08:42.261 -0800
-0.257492,-0.893417,0.055679,0.931449,4122.231528,2000-12-31 17:08:42.232 -0800
0.003265,-1.020752,0.037277,1.021438,4122.201981,2000-12-31 17:08:42.202 -0800
-0.094025,-0.959885,-0.017120,0.964631,4122.172434,2000-12-31 17:08:42.172 -0800
0.014236,-1.032272,0.004288,1.032379,4122.142889,2000-12-31 17:08:42.143 -0800
0.028809,-0.997269,0.147675,1.008555,4122.113347,2000-12-31 17:08:42.113 -0800
0.093140,-0.881439,0.246719,0.920044,4122.083799,2000-12-31 17:08:42.084 -0800
0.177475,-0.976562,0.392456,1.067330,4122.054253,2000-12-31 17:08:42.054 -0800
0.118408,-1.029739,0.299500,1.078927,4122.024706,2000-12-31 17:08:42.025 -0800
0.038895,-1.065018,0.222992,1.088807,4121.995158,2000-12-31 17:08:41.995 -0800
-0.122299,-0.965500,0.186691,0.990960,4121.965609,2000-12-31 17:08:41.966 -0800
-0.103210,-0.910370,0.130905,0.925506,4121.936063,2000-12-31 17:08:41.936 -0800
-0.034348,-0.956436,0.014099,0.957157,4121.906516,2000-12-31 17:08:41.907 -0800
-0.137222,-0.967758,0.133972,0.986577,4121.876969,2000-12-31 17:08:41.877 -0800
0.043594,-0.947830,0.239548,0.978604,4121.847481,2000-12-31 17:08:41.847 -0800
0.086792,-0.806091,0.310455,0.868158,4121.817937,2000-12-31 17:08:41.818 -0800
-0.054138,-0.936340,0.421204,1.028142,4121.788391,2000-12-31 17:08:41.788 -0800
0.152390,-1.069275,0.433746,1.163919,4121.758846,2000-12-31 17:08:41.759 -0800
0.210526,-0.952332,0.422134,1.062758,4121.729303,2000-12-31 17:08:41.729 -0800
0.530136,-0.914703,0.477341,1.159992,4121.699759,2000-12-31 17:08:41.700 -0800
0.440643,-1.306183,0.593307,1.500764,4121.670216,2000-12-31 17:08:41.670 -0800
0.781784,-0.941498,1.652588,2.056368,4121.640643,2000-12-31 17:08:41.641 -0800
1.541656,2.928329,0.571976,3.358418,4121.611129,2000-12-31 17:08:41.611 -0800
0.356415,-2.131500,-0.380051,2.194257,4121.581581,2000-12-31 17:08:41.582 -0800
1.006302,-0.046677,1.662628,1.944005,4121.552036,2000-12-31 17:08:41.552 -0800
0.580856,0.497879,1.194595,1.418568,4121.522496,2000-12-31 17:08:41.522 -0800
0.660660,-1.299881,1.088776,1.819779,4121.492951,2000-12-31 17:08:41.493 -0800
0.469589,-0.872955,0.895355,1.335749,4121.463407,2000-12-31 17:08:41.463 -0800
0.465637,-1.294388,0.702957,1.544800,4121.433864,2000-12-31 17:08:41.434 -0800
0.162964,-0.801193,0.662338,1.052217,4121.404319,2000-12-31 17:08:41.404 -0800
0.159653,-0.407135,0.538696,0.693860,4121.374774,2000-12-31 17:08:41.375 -0800
0.411224,-0.367935,0.479385,0.730953,4121.345228,2000-12-31 17:08:41.345 -0800
0.689301,-0.269531,0.629440,0.971585,4121.315683,2000-12-31 17:08:41.316 -0800
0.572586,-0.705429,0.759262,1.184046,4121.286137,2000-12-31 17:08:41.286 -0800
0.302750,-1.233185,1.133331,1.702011,4121.256593,2000-12-31 17:08:41.257 -0800
-0.221802,-1.070892,1.271332,1.676989,4121.227046,2000-12-31 17:08:41.227 -0800
-0.303543,-2.836136,0.813721,2.966133,4121.197501,2000-12-31 17:08:41.198 -0800
0.301590,-1.218811,0.806351,1.492199,4121.167957,2000-12-31 17:08:41.168 -0800
0.502609,-0.764999,-0.404037,1.000543,4121.138412,2000-12-31 17:08:41.138 -0800
-0.011612,-0.653885,-0.434906,0.785394,4121.108866,2000-12-31 17:08:41.109 -0800
-0.833023,-0.113785,-0.354156,0.912305,4121.079321,2000-12-31 17:08:41.079 -0800
-0.679077,-0.336807,-0.346497,0.833454,4121.049778,2000-12-31 17:08:41.050 -0800
-0.411545,-0.848557,-0.388580,1.020006,4121.020236,2000-12-31 17:08:41.020 -0800
-0.161804,-1.317810,-0.384796,1.382343,4120.990696,2000-12-31 17:08:40.991 -0800
-0.523407,-2.131790,-0.274185,2.212162,4120.961155,2000-12-31 17:08:40.961 -0800
0.100128,-1.952362,0.469193,2.010444,4120.931616,2000-12-31 17:08:40.932 -0800
0.044464,-1.387589,1.328827,1.921760,4120.902075,2000-12-31 17:08:40.902 -0800
0.657394,-0.795334,1.252335,1.622672,4120.872535,2000-12-31 17:08:40.873 -0800
1.122284,-1.962524,0.960083,2.456172,4120.842993,2000-12-31 17:08:40.843 -0800
0.040344,-0.590683,0.785858,0.983924,4120.813454,2000-12-31 17:08:40.813 -0800
4.089523,2.064102,1.830307,4.933026,4120.783915,2000-12-31 17:08:40.784 -0800
-3.893860,-2.649277,-0.774826,4.772962,4120.754366,2000-12-31 17:08:40.754 -0800
0.761444,-0.109726,0.627441,0.992733,4120.724829,2000-12-31 17:08:40.725 -0800
1.014175,0.375031,1.222382,1.631998,4120.695287,2000-12-31 17:08:40.695 -0800
1.721069,-0.759964,1.352798,2.317259,4120.665740,2000-12-31 17:08:40.666 -0800
1.149750,-0.739227,1.232300,1.840365,4120.636198,2000-12-31 17:08:40.636 -0800
0.382462,-0.807602,0.854935,1.236694,4120.606657,2000-12-31 17:08:40.607 -0800
0.302567,-0.545837,0.776779,0.996429,4120.577118,2000-12-31 17:08:40.577 -0800
0.345718,-0.302307,0.518845,0.692900,4120.547577,2000-12-31 17:08:40.548 -0800
0.835831,-0.293472,0.412155,0.977042,4120.518037,2000-12-31 17:08:40.518 -0800
0.640717,-0.510330,0.828522,1.165076,4120.488498,2000-12-31 17:08:40.488 -0800
0.184052,-0.668228,1.076767,1.280559,4120.458957,2000-12-31 17:08:40.459 -0800
-0.493073,-0.892838,1.200119,1.574981,4120.429414,2000-12-31 17:08:40.429 -0800
-0.064453,-1.012512,0.803070,1.293931,4120.399873,2000-12-31 17:08:40.400 -0800
0.434021,-1.726593,1.162003,2.125970,4120.370330,2000-12-31 17:08:40.370 -0800
0.654800,-0.919540,-0.230484,1.152146,4120.340790,2000-12-31 17:08:40.341 -0800
-0.180588,-0.973221,-0.567566,1.141009,4120.311246,2000-12-31 17:08:40.311 -0800
-0.642792,-0.397003,-0.360123,0.836947,4120.281705,2000-12-31 17:08:40.282 -0800
-0.907364,-0.388718,-0.658844,1.186797,4120.252162,2000-12-31 17:08:40.252 -0800
-0.551346,-1.041245,-0.602661,1.323394,4120.222621,2000-12-31 17:08:40.223 -0800
-0.708252,-1.732727,-0.340179,1.902547,4120.193077,2000-12-31 17:08:40.193 -0800
-0.273529,-2.391556,-0.227020,2.417829,4120.163536,2000-12-31 17:08:40.164 -0800
0.584396,-1.714584,0.554306,1.894353,4120.133999,2000-12-31 17:08:40.134 -0800
0.366791,-1.375885,1.048553,1.768349,4120.104458,2000-12-31 17:08:40.104 -0800
0.593246,-1.640839,1.217865,2.127789,4120.074898,2000-12-31 17:08:40.075 -0800
0.254288,-1.059570,1.651779,1.978819,4120.045376,2000-12-31 17:08:40.045 -0800
0.932617,0.543304,0.177353,1.093805,4120.015833,2000-12-31 17:08:40.016 -0800
4.288101,-0.140976,-0.301254,4.300981,4119.986295,2000-12-31 17:08:39.986 -0800
-0.156311,-0.093460,1.879211,1.888016,4119.956749,2000-12-31 17:08:39.957 -0800
1.108246,0.331924,0.887833,1.458297,4119.927209,2000-12-31 17:08:39.927 -0800
1.694931,0.006927,1.101135,2.021222,4119.897660,2000-12-31 17:08:39.898 -0800
0.800247,-1.182419,1.068375,1.783237,4119.868120,2000-12-31 17:08:39.868 -0800
0.953049,-0.733871,0.955933,1.536449,4119.838576,2000-12-31 17:08:39.839 -0800
0.532120,-0.831085,0.522522,1.116639,4119.809033,2000-12-31 17:08:39.809 -0800
0.496048,-0.420120,0.680191,0.940864,4119.779487,2000-12-31 17:08:39.779 -0800
0.448181,-0.168243,0.410248,0.630457,4119.749939,2000-12-31 17:08:39.750 -0800
0.624100,-0.264359,0.696365,0.971756,4119.720392,2000-12-31 17:08:39.720 -0800
0.538834,-0.588501,0.944366,1.236326,4119.690847,2000-12-31 17:08:39.691 -0800
-0.218979,-0.798264,1.085419,1.365031,4119.661302,2000-12-31 17:08:39.661 -0800
0.008194,-0.707474,0.613998,0.936793,4119.631753,2000-12-31 17:08:39.632 -0800
-0.472031,-3.389145,1.393005,3.694534,4119.602207,2000-12-31 17:08:39.602 -0800
0.650391,-0.972534,-0.107895,1.174935,4119.572662,2000-12-31 17:08:39.573 -0800
0.139725,-1.036255,-0.527924,1.171346,4119.543114,2000-12-31 17:08:39.543 -0800
-0.482803,-0.864716,-0.645187,1.181989,4119.513567,2000-12-31 17:08:39.514 -0800
-0.718140,-0.431900,-0.470795,0.961202,4119.484021,2000-12-31 17:08:39.484 -0800
-0.834900,-0.991760,-0.347275,1.342105,4119.454475,2000-12-31 17:08:39.454 -0800
-0.396805,-1.578156,-0.212128,1.641044,4119.424932,2000-12-31 17:08:39.425 -0800
