x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.150787,-0.953705,-0.103119,0.971042,3747.061941,2000-12-31 17:02:27.062 -0800
-0.123718,-0.989304,-0.159302,1.009656,3747.032399,2000-12-31 17:02:27.032 -0800
-0.101166,-0.985092,-0.145859,1.000957,3747.002857,2000-12-31 17:02:27.003 -0800
-0.118591,-0.984909,-0.109970,0.998100,3746.973314,2000-12-31 17:02:26.973 -0800
-0.098587,-0.980713,-0.133102,0.994602,3746.943753,2000-12-31 17:02:26.944 -0800
-0.123245,-0.973877,-0.115967,0.988471,3746.914231,2000-12-31 17:02:26.914 -0800
-0.112549,-0.978821,-0.131561,0.994015,3746.884688,2000-12-31 17:02:26.885 -0800
-0.053146,-0.969910,-0.152084,0.983198,3746.855145,2000-12-31 17:02:26.855 -0800
-0.094391,-0.977676,-0.126328,0.990313,3746.825601,2000-12-31 17:02:26.826 -0800
-0.122253,-0.975021,-0.119843,0.989937,3746.796057,2000-12-31 17:02:26.796 -0800
-0.105698,-0.968964,-0.129059,0.983219,3746.766569,2000-12-31 17:02:26.767 -0800
-0.092346,-0.985596,-0.141937,1.000036,3746.737028,2000-12-31 17:02:26.737 -0800
-0.101212,-0.978455,-0.135941,0.993024,3746.707484,2000-12-31 17:02:26.707 -0800
-0.119568,-0.977890,-0.143829,0.995617,3746.677936,2000-12-31 17:02:26.678 -0800
-0.118469,-0.970871,-0.133789,0.987180,3746.648391,2000-12-31 17:02:26.648 -0800
-0.106201,-0.973785,-0.131836,0.988391,3746.618844,2000-12-31 17:02:26.619 -0800
-0.102951,-0.966263,-0.110901,0.978040,3746.589295,2000-12-31 17:02:26.589 -0800
-0.112442,-0.976898,-0.128677,0.991731,3746.559756,2000-12-31 17:02:26.560 -0800
-0.119125,-0.976730,-0.125610,0.991953,3746.530210,2000-12-31 17:02:26.530 -0800
-0.118195,-0.977448,-0.132965,0.993506,3746.500664,2000-12-31 17:02:26.501 -0800
-0.098129,-0.963623,-0.117935,0.975760,3746.471119,2000-12-31 17:02:26.471 -0800
-0.092957,-0.983032,-0.118668,0.994523,3746.441576,2000-12-31 17:02:26.442 -0800
-0.090240,-0.976700,-0.115143,0.987595,3746.412033,2000-12-31 17:02:26.412 -0800
-0.098694,-0.982132,-0.116135,0.993887,3746.382488,2000-12-31 17:02:26.382 -0800
-0.121185,-0.978653,-0.110901,0.992344,3746.352941,2000-12-31 17:02:26.353 -0800
-0.094925,-0.974930,-0.127121,0.987754,3746.323396,2000-12-31 17:02:26.323 -0800
-0.118576,-0.973999,-0.123840,0.988975,3746.293851,2000-12-31 17:02:26.294 -0800
-0.159851,-0.978241,-0.124115,0.998956,3746.264308,2000-12-31 17:02:26.264 -0800
-0.163742,-0.973419,-0.108322,0.993021,3746.234765,2000-12-31 17:02:26.235 -0800
-0.125687,-0.971710,-0.110779,0.986048,3746.205227,2000-12-31 17:02:26.205 -0800
-0.143173,-0.975754,-0.121887,0.993705,3746.175684,2000-12-31 17:02:26.176 -0800
-0.154129,-0.963623,-0.118210,0.983005,3746.146143,2000-12-31 17:02:26.146 -0800
-0.161697,-0.964966,-0.128723,0.986851,3746.116600,2000-12-31 17:02:26.117 -0800
-0.122406,-0.956436,-0.154068,0.976468,3746.087058,2000-12-31 17:02:26.087 -0800
-0.137299,-0.978149,-0.135101,0.996935,3746.057517,2000-12-31 17:02:26.058 -0800
-0.157944,-0.963669,-0.141525,0.986729,3746.027973,2000-12-31 17:02:26.028 -0800
-0.153015,-0.978531,-0.146866,1.001252,3745.998426,2000-12-31 17:02:25.998 -0800
-0.164169,-0.968185,-0.138229,0.991686,3745.968884,2000-12-31 17:02:25.969 -0800
-0.161804,-0.983948,-0.110397,1.003255,3745.939339,2000-12-31 17:02:25.939 -0800
-0.123474,-0.969940,-0.136169,0.987204,3745.909794,2000-12-31 17:02:25.910 -0800
-0.121964,-0.978455,-0.168503,1.000321,3745.880250,2000-12-31 17:02:25.880 -0800
-0.204788,-0.962296,-0.102127,0.989131,3745.850705,2000-12-31 17:02:25.851 -0800
-0.220276,-0.949539,-0.112610,0.981238,3745.821159,2000-12-31 17:02:25.821 -0800
-0.257111,-0.968124,-0.171280,1.016222,3745.791612,2000-12-31 17:02:25.792 -0800
-0.181854,-0.946396,-0.112869,0.970297,3745.762065,2000-12-31 17:02:25.762 -0800
-0.124847,-0.972229,-0.075546,0.983119,3745.732517,2000-12-31 17:02:25.733 -0800
-0.124420,-0.995148,-0.056381,1.004479,3745.702969,2000-12-31 17:02:25.703 -0800
-0.142899,-0.994171,-0.032608,1.004918,3745.673426,2000-12-31 17:02:25.673 -0800
-0.267700,-0.951385,-0.063583,0.990374,3745.643880,2000-12-31 17:02:25.644 -0800
-0.310349,-0.910110,-0.117432,0.968714,3745.614333,2000-12-31 17:02:25.614 -0800
-0.274124,-0.966660,-0.149734,1.015872,3745.584786,2000-12-31 17:02:25.585 -0800
-0.263214,-0.933609,-0.080032,0.973300,3745.555213,2000-12-31 17:02:25.555 -0800
-0.205444,-0.941055,-0.035080,0.963858,3745.525696,2000-12-31 17:02:25.526 -0800
-0.108215,-0.966080,-0.092773,0.976539,3745.496151,2000-12-31 17:02:25.496 -0800
-0.119583,-1.024261,0.008759,1.031256,3745.466606,2000-12-31 17:02:25.467 -0800
-0.162308,-0.919357,0.106857,0.939670,3745.437061,2000-12-31 17:02:25.437 -0800
-0.078613,-1.065109,0.066422,1.070070,3745.407517,2000-12-31 17:02:25.408 -0800
-0.097610,-1.009674,0.017685,1.014536,3745.377968,2000-12-31 17:02:25.378 -0800
-0.158493,-0.944244,0.041656,0.958359,3745.348430,2000-12-31 17:02:25.348 -0800
-0.119202,-1.011353,0.079971,1.021488,3745.318886,2000-12-31 17:02:25.319 -0800
