x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.112808,-0.969391,-0.167557,0.990212,3831.026370,2000-12-31 17:03:51.026 -0800
-0.126709,-0.959106,-0.157715,0.980211,3830.996823,2000-12-31 17:03:50.997 -0800
-0.142548,-0.966461,-0.132843,0.985908,3830.967277,2000-12-31 17:03:50.967 -0800
-0.124680,-0.969604,-0.144638,0.988230,3830.937729,2000-12-31 17:03:50.938 -0800
-0.130630,-0.962769,-0.147568,0.982733,3830.908181,2000-12-31 17:03:50.908 -0800
-0.132477,-0.970306,-0.142929,0.989683,3830.878631,2000-12-31 17:03:50.879 -0800
-0.126877,-0.971252,-0.156174,0.991877,3830.849081,2000-12-31 17:03:50.849 -0800
-0.127274,-0.969467,-0.129364,0.986306,3830.819534,2000-12-31 17:03:50.820 -0800
-0.126450,-0.977478,-0.136978,0.995096,3830.789987,2000-12-31 17:03:50.790 -0800
-0.129944,-0.958572,-0.141525,0.977638,3830.760440,2000-12-31 17:03:50.760 -0800
-0.164078,-0.973145,-0.154297,0.998869,3830.730893,2000-12-31 17:03:50.731 -0800
-0.123047,-0.968323,-0.159943,0.989126,3830.701347,2000-12-31 17:03:50.701 -0800
-0.143921,-0.971207,-0.146332,0.992657,3830.671803,2000-12-31 17:03:50.672 -0800
-0.166458,-0.962173,-0.134369,0.985668,3830.642258,2000-12-31 17:03:50.642 -0800
-0.120651,-0.963425,-0.139908,0.980978,3830.612715,2000-12-31 17:03:50.613 -0800
-0.138321,-0.969803,-0.130005,0.988206,3830.583170,2000-12-31 17:03:50.583 -0800
-0.149948,-0.973999,-0.136185,0.994839,3830.553628,2000-12-31 17:03:50.554 -0800
-0.158463,-0.962769,-0.137650,0.985384,3830.524087,2000-12-31 17:03:50.524 -0800
-0.155396,-0.974899,-0.148010,0.998240,3830.494546,2000-12-31 17:03:50.495 -0800
-0.165619,-0.959122,-0.138748,0.983156,3830.465002,2000-12-31 17:03:50.465 -0800
-0.150497,-0.964203,-0.139023,0.985730,3830.435456,2000-12-31 17:03:50.435 -0800
-0.164352,-0.961914,-0.131836,0.984719,3830.405914,2000-12-31 17:03:50.406 -0800
-0.164993,-0.965851,-0.142929,0.990212,3830.376368,2000-12-31 17:03:50.376 -0800
-0.162552,-0.961182,-0.127563,0.983141,3830.346823,2000-12-31 17:03:50.347 -0800
-0.147491,-0.974258,-0.129669,0.993855,3830.317279,2000-12-31 17:03:50.317 -0800
-0.133591,-0.970566,-0.137405,0.989305,3830.287733,2000-12-31 17:03:50.288 -0800
-0.140396,-0.975906,-0.117203,0.992895,3830.258187,2000-12-31 17:03:50.258 -0800
-0.155289,-0.970306,-0.119888,0.989941,3830.228642,2000-12-31 17:03:50.229 -0800
-0.155289,-0.963547,-0.137833,0.985665,3830.199096,2000-12-31 17:03:50.199 -0800
-0.150925,-0.978561,-0.141449,1.000184,3830.169552,2000-12-31 17:03:50.170 -0800
-0.121750,-0.973785,-0.122803,0.989021,3830.140005,2000-12-31 17:03:50.140 -0800
-0.123047,-0.978882,-0.119064,0.993744,3830.110436,2000-12-31 17:03:50.110 -0800
-0.126633,-0.975739,-0.114410,0.990551,3830.080916,2000-12-31 17:03:50.081 -0800
-0.132034,-0.978607,-0.099823,0.992507,3830.051370,2000-12-31 17:03:50.051 -0800
-0.140732,-0.961563,-0.122009,0.979436,3830.021823,2000-12-31 17:03:50.022 -0800
-0.134445,-0.961838,-0.141251,0.981407,3829.992280,2000-12-31 17:03:49.992 -0800
-0.124725,-0.980042,-0.139709,0.997776,3829.962736,2000-12-31 17:03:49.963 -0800
-0.128708,-0.972626,-0.127899,0.989406,3829.933172,2000-12-31 17:03:49.933 -0800
-0.136719,-0.978088,-0.120087,0.994872,3829.903644,2000-12-31 17:03:49.904 -0800
-0.131866,-0.968338,-0.124969,0.985233,3829.874098,2000-12-31 17:03:49.874 -0800
-0.127426,-0.968903,-0.117035,0.984229,3829.844551,2000-12-31 17:03:49.845 -0800
-0.135452,-0.969421,-0.135239,0.988137,3829.815005,2000-12-31 17:03:49.815 -0800
-0.146439,-0.965729,-0.152054,0.988533,3829.785460,2000-12-31 17:03:49.785 -0800
-0.151184,-0.965714,-0.146286,0.988362,3829.755912,2000-12-31 17:03:49.756 -0800
-0.126587,-0.966309,-0.123184,0.982319,3829.726374,2000-12-31 17:03:49.726 -0800
-0.125595,-0.977158,-0.124191,0.992993,3829.696831,2000-12-31 17:03:49.697 -0800
-0.160797,-0.966843,-0.143036,0.990505,3829.667285,2000-12-31 17:03:49.667 -0800
-0.162918,-0.965134,-0.138855,0.988588,3829.637739,2000-12-31 17:03:49.638 -0800
-0.128815,-0.966446,-0.118759,0.982199,3829.608195,2000-12-31 17:03:49.608 -0800
-0.167786,-0.951767,-0.159012,0.979437,3829.578645,2000-12-31 17:03:49.579 -0800
-0.159882,-0.965225,-0.134293,0.987551,3829.549102,2000-12-31 17:03:49.549 -0800
-0.145538,-0.968765,-0.126556,0.987777,3829.519559,2000-12-31 17:03:49.520 -0800
-0.126846,-0.973068,-0.123413,0.989031,3829.490016,2000-12-31 17:03:49.490 -0800
-0.149338,-0.963867,-0.089066,0.979426,3829.460473,2000-12-31 17:03:49.460 -0800
-0.152954,-0.981186,-0.104401,0.998509,3829.430929,2000-12-31 17:03:49.431 -0800
-0.118698,-0.969757,-0.143341,0.987454,3829.401381,2000-12-31 17:03:49.401 -0800
-0.142685,-0.980820,-0.070267,0.993632,3829.371841,2000-12-31 17:03:49.372 -0800
-0.162292,-0.975372,-0.123474,0.996462,3829.342294,2000-12-31 17:03:49.342 -0800
-0.147110,-0.973358,-0.148270,0.995516,3829.312751,2000-12-31 17:03:49.313 -0800
-0.163879,-0.967361,-0.126694,0.989291,3829.283206,2000-12-31 17:03:49.283 -0800
-0.175629,-0.969620,-0.132904,0.994320,3829.253664,2000-12-31 17:03:49.254 -0800
-0.198730,-0.964920,-0.143997,0.995640,3829.224123,2000-12-31 17:03:49.224 -0800
-0.137711,-0.977737,-0.138580,0.997065,3829.194580,2000-12-31 17:03:49.195 -0800
-0.122086,-0.991348,-0.120163,1.006039,3829.165012,2000-12-31 17:03:49.165 -0800
-0.151047,-0.971542,-0.116974,0.990148,3829.135492,2000-12-31 17:03:49.135 -0800
-0.191635,-0.940216,-0.094620,0.964201,3829.105947,2000-12-31 17:03:49.106 -0800
-0.146301,-0.992508,-0.070908,1.005736,3829.076403,2000-12-31 17:03:49.076 -0800
-0.093689,-0.981949,-0.040085,0.987222,3829.046858,2000-12-31 17:03:49.047 -0800
-0.161118,-0.993073,-0.031204,1.006541,3829.017315,2000-12-31 17:03:49.017 -0800
-0.216782,-0.955566,-0.057022,0.981505,3828.987773,2000-12-31 17:03:48.988 -0800
-0.217789,-0.960297,-0.059402,0.986474,3828.958232,2000-12-31 17:03:48.958 -0800
-0.239380,-0.949997,-0.069336,0.982143,3828.928690,2000-12-31 17:03:48.929 -0800
-0.243546,-0.961304,-0.096085,0.996319,3828.899149,2000-12-31 17:03:48.899 -0800
-0.180542,-0.966660,-0.070221,0.985879,3828.869607,2000-12-31 17:03:48.870 -0800
-0.041199,-1.039963,-0.011536,1.040842,3828.840063,2000-12-31 17:03:48.840 -0800
-0.011124,-1.012238,-0.012115,1.012371,3828.810521,2000-12-31 17:03:48.811 -0800
-0.190674,-0.915863,-0.006317,0.935522,3828.780978,2000-12-31 17:03:48.781 -0800
-0.283646,-0.927353,-0.074997,0.972658,3828.751434,2000-12-31 17:03:48.751 -0800
-0.077087,-0.993134,-0.066635,0.998347,3828.721889,2000-12-31 17:03:48.722 -0800
-0.067368,-0.996613,-0.032822,0.999426,3828.692346,2000-12-31 17:03:48.692 -0800
-0.190445,-0.985229,0.034500,1.004060,3828.662802,2000-12-31 17:03:48.663 -0800
-0.114990,-0.996918,0.092590,1.007790,3828.633259,2000-12-31 17:03:48.633 -0800
-0.148300,-0.941238,0.073105,0.955650,3828.603716,2000-12-31 17:03:48.604 -0800
-0.147186,-0.973785,-0.010666,0.984904,3828.574169,2000-12-31 17:03:48.574 -0800
-0.198624,-0.985306,-0.047073,1.006228,3828.544624,2000-12-31 17:03:48.545 -0800
-0.235474,-0.931473,0.002029,0.960778,3828.515080,2000-12-31 17:03:48.515 -0800
-0.197021,-0.986176,0.009613,1.005710,3828.485536,2000-12-31 17:03:48.486 -0800
-0.278488,-0.929077,0.018372,0.970091,3828.455992,2000-12-31 17:03:48.456 -0800
-0.130463,-0.978806,0.069016,0.989871,3828.426448,2000-12-31 17:03:48.426 -0800
-0.125122,-0.998962,0.103012,1.012024,3828.396907,2000-12-31 17:03:48.397 -0800
-0.027420,-0.976761,0.140747,0.987230,3828.367363,2000-12-31 17:03:48.367 -0800
