x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.121033,-0.982773,-0.132553,0.999030,3921.469000,2000-12-31 17:05:21.469 -0800
-0.121338,-0.967987,-0.123962,0.983407,3921.439457,2000-12-31 17:05:21.439 -0800
-0.126251,-0.975342,-0.105118,0.989081,3921.409914,2000-12-31 17:05:21.410 -0800
-0.117584,-0.975525,-0.122482,0.990190,3921.380369,2000-12-31 17:05:21.380 -0800
-0.106461,-0.975281,-0.123215,0.988781,3921.350823,2000-12-31 17:05:21.351 -0800
-0.119247,-0.964066,-0.120316,0.978835,3921.321274,2000-12-31 17:05:21.321 -0800
-0.120712,-0.967758,-0.130142,0.983903,3921.291734,2000-12-31 17:05:21.292 -0800
-0.121735,-0.987442,-0.147888,1.005849,3921.262190,2000-12-31 17:05:21.262 -0800
-0.120987,-0.973694,-0.136917,0.990689,3921.232647,2000-12-31 17:05:21.233 -0800
-0.112854,-0.983963,-0.130447,0.998967,3921.203102,2000-12-31 17:05:21.203 -0800
-0.115707,-0.981369,-0.137741,0.997720,3921.173556,2000-12-31 17:05:21.174 -0800
-0.118439,-0.989517,-0.113403,1.003012,3921.143996,2000-12-31 17:05:21.144 -0800
-0.139465,-0.973297,-0.105331,0.988864,3921.114461,2000-12-31 17:05:21.114 -0800
-0.147003,-0.960800,-0.088577,0.976009,3921.084912,2000-12-31 17:05:21.085 -0800
-0.128860,-0.968719,-0.110977,0.983534,3921.055370,2000-12-31 17:05:21.055 -0800
-0.178680,-0.957092,-0.121826,0.981221,3921.025828,2000-12-31 17:05:21.026 -0800
-0.122543,-0.980804,-0.080994,0.991743,3920.996283,2000-12-31 17:05:20.996 -0800
-0.147079,-0.970123,-0.085251,0.984906,3920.966736,2000-12-31 17:05:20.967 -0800
-0.146011,-0.967026,-0.069656,0.980464,3920.937195,2000-12-31 17:05:20.937 -0800
-0.122543,-0.981979,-0.088715,0.993565,3920.907653,2000-12-31 17:05:20.908 -0800
-0.117203,-0.992096,-0.078568,1.002080,3920.878109,2000-12-31 17:05:20.878 -0800
-0.120224,-0.974213,-0.060944,0.983493,3920.848568,2000-12-31 17:05:20.849 -0800
-0.117661,-0.993851,-0.086945,1.004561,3920.819027,2000-12-31 17:05:20.819 -0800
-0.186493,-0.958496,-0.068588,0.978876,3920.789480,2000-12-31 17:05:20.789 -0800
-0.121429,-0.986008,-0.099167,0.998394,3920.759943,2000-12-31 17:05:20.760 -0800
-0.123291,-0.962311,-0.059341,0.971990,3920.730399,2000-12-31 17:05:20.730 -0800
-0.134842,-0.985428,-0.092850,0.998935,3920.700858,2000-12-31 17:05:20.701 -0800
-0.129776,-0.970734,-0.054047,0.980860,3920.671313,2000-12-31 17:05:20.671 -0800
-0.124435,-0.974152,-0.094543,0.986607,3920.641768,2000-12-31 17:05:20.642 -0800
-0.154129,-0.974533,-0.094559,0.991167,3920.612216,2000-12-31 17:05:20.612 -0800
-0.166840,-0.958908,-0.076477,0.976314,3920.582675,2000-12-31 17:05:20.583 -0800
-0.179260,-0.985260,-0.094681,1.005901,3920.553131,2000-12-31 17:05:20.553 -0800
-0.154968,-0.968552,-0.090347,0.985023,3920.523584,2000-12-31 17:05:20.524 -0800
-0.154007,-0.979767,-0.067688,0.994104,3920.494039,2000-12-31 17:05:20.494 -0800
-0.170441,-0.962280,-0.080475,0.980566,3920.464495,2000-12-31 17:05:20.464 -0800
-0.171799,-0.970276,-0.076462,0.988330,3920.434947,2000-12-31 17:05:20.435 -0800
-0.139542,-0.972122,-0.067017,0.984370,3920.405406,2000-12-31 17:05:20.405 -0800
-0.141174,-0.966278,-0.061264,0.978456,3920.375862,2000-12-31 17:05:20.376 -0800
-0.213837,-0.977707,-0.093735,1.005198,3920.346317,2000-12-31 17:05:20.346 -0800
-0.144730,-0.972610,-0.063507,0.985368,3920.316772,2000-12-31 17:05:20.317 -0800
-0.145111,-0.958603,-0.005859,0.969542,3920.287224,2000-12-31 17:05:20.287 -0800
-0.133545,-0.988663,-0.040344,0.998457,3920.257674,2000-12-31 17:05:20.258 -0800
-0.175812,-0.960831,-0.066864,0.979069,3920.228135,2000-12-31 17:05:20.228 -0800
-0.133148,-0.985428,-0.065826,0.996559,3920.198593,2000-12-31 17:05:20.199 -0800
-0.127304,-0.973267,-0.043991,0.982542,3920.169049,2000-12-31 17:05:20.169 -0800
-0.179443,-0.969116,-0.048584,0.986786,3920.139508,2000-12-31 17:05:20.140 -0800
-0.203537,-0.967056,-0.039886,0.989048,3920.109965,2000-12-31 17:05:20.110 -0800
-0.160416,-0.973907,-0.078140,0.990119,3920.080420,2000-12-31 17:05:20.080 -0800
-0.144897,-0.979202,-0.040039,0.990674,3920.050878,2000-12-31 17:05:20.051 -0800
-0.070023,-0.976608,0.025635,0.979451,3920.021333,2000-12-31 17:05:20.021 -0800
-0.139862,-0.986526,0.033783,0.996964,3919.991793,2000-12-31 17:05:19.992 -0800
-0.151825,-0.978989,0.021317,0.990921,3919.962250,2000-12-31 17:05:19.962 -0800
-0.114319,-0.998306,0.022446,1.005081,3919.932705,2000-12-31 17:05:19.933 -0800
-0.117371,-0.952362,0.010529,0.959625,3919.903161,2000-12-31 17:05:19.903 -0800
-0.181427,-0.998230,-0.021484,1.014811,3919.873618,2000-12-31 17:05:19.874 -0800
-0.213165,-0.947830,-0.033096,0.972068,3919.844075,2000-12-31 17:05:19.844 -0800
-0.123322,-0.991241,0.013092,0.998969,3919.814533,2000-12-31 17:05:19.815 -0800
