x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.028580,-0.995651,-0.074661,0.998856,5275.319238,2000-12-31 17:27:55.319 -0800
0.005875,-0.961502,-0.164291,0.975455,5275.289696,2000-12-31 17:27:55.290 -0800
-0.008652,-0.969009,-0.146347,0.980036,5275.260153,2000-12-31 17:27:55.260 -0800
0.015137,-0.986481,-0.141998,0.996763,5275.230610,2000-12-31 17:27:55.231 -0800
-0.011948,-0.979507,-0.147125,0.990567,5275.201066,2000-12-31 17:27:55.201 -0800
-0.016769,-0.974197,-0.182587,0.991302,5275.171521,2000-12-31 17:27:55.172 -0800
-0.004715,-0.981644,-0.149551,0.992981,5275.141977,2000-12-31 17:27:55.142 -0800
-0.003021,-0.983719,-0.124710,0.991597,5275.112436,2000-12-31 17:27:55.112 -0800
0.012207,-0.981750,-0.123077,0.989511,5275.082895,2000-12-31 17:27:55.083 -0800
0.010452,-0.982544,-0.110260,0.988766,5275.053354,2000-12-31 17:27:55.053 -0800
0.021942,-0.982178,-0.122314,0.990008,5275.023812,2000-12-31 17:27:55.024 -0800
0.051910,-0.988632,-0.102905,0.995328,5274.994270,2000-12-31 17:27:54.994 -0800
-0.033737,-0.979248,-0.139069,0.989649,5274.964728,2000-12-31 17:27:54.965 -0800
-0.040283,-0.983063,-0.113876,0.990456,5274.935183,2000-12-31 17:27:54.935 -0800
-0.052826,-0.987091,-0.085526,0.992197,5274.905642,2000-12-31 17:27:54.906 -0800
-0.000244,-0.946121,-0.141541,0.956650,5274.876098,2000-12-31 17:27:54.876 -0800
0.086624,-1.038483,-0.179550,1.057444,5274.846555,2000-12-31 17:27:54.847 -0800
-0.092636,-0.952866,-0.088181,0.961410,5274.817009,2000-12-31 17:27:54.817 -0800
-0.020645,-0.975815,-0.109787,0.982188,5274.787445,2000-12-31 17:27:54.787 -0800
-0.001038,-0.978287,-0.068130,0.980657,5274.757918,2000-12-31 17:27:54.758 -0800
0.043793,-0.994202,-0.066986,0.997418,5274.728379,2000-12-31 17:27:54.728 -0800
