x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.152390,-1.008377,0.009232,1.019869,5348.733609,2000-12-31 17:29:08.734 -0800
-0.134415,-0.975433,0.002151,0.984653,5348.704067,2000-12-31 17:29:08.704 -0800
-0.129318,-0.980377,0.008835,0.988909,5348.674525,2000-12-31 17:29:08.675 -0800
-0.148544,-0.980011,0.023361,0.991480,5348.644981,2000-12-31 17:29:08.645 -0800
-0.125870,-0.979126,-0.000183,0.987183,5348.615438,2000-12-31 17:29:08.615 -0800
-0.125549,-0.977875,-0.008987,0.985942,5348.585893,2000-12-31 17:29:08.586 -0800
-0.142319,-0.974884,0.006500,0.985239,5348.556352,2000-12-31 17:29:08.556 -0800
-0.130234,-0.983582,0.008453,0.992202,5348.526810,2000-12-31 17:29:08.527 -0800
-0.122955,-0.987610,0.017319,0.995385,5348.497265,2000-12-31 17:29:08.497 -0800
-0.123077,-0.984283,0.025131,0.992267,5348.467721,2000-12-31 17:29:08.468 -0800
-0.125076,-0.980164,0.008789,0.988151,5348.438178,2000-12-31 17:29:08.438 -0800
-0.124237,-0.977829,-0.002045,0.985692,5348.408619,2000-12-31 17:29:08.409 -0800
-0.118317,-0.972885,-0.017639,0.980212,5348.379094,2000-12-31 17:29:08.379 -0800
-0.124161,-0.986160,0.020691,0.994161,5348.349555,2000-12-31 17:29:08.350 -0800
-0.184006,-0.971420,0.026535,0.989050,5348.320014,2000-12-31 17:29:08.320 -0800
-0.098297,-0.985031,-0.016663,0.990064,5348.290474,2000-12-31 17:29:08.290 -0800
-0.122314,-0.981949,-0.000931,0.989538,5348.260932,2000-12-31 17:29:08.261 -0800
-0.123032,-0.973740,-0.008774,0.981521,5348.231387,2000-12-31 17:29:08.231 -0800
-0.124634,-0.975006,-0.009750,0.982988,5348.201847,2000-12-31 17:29:08.202 -0800
-0.142929,-0.975677,-0.006699,0.986114,5348.172306,2000-12-31 17:29:08.172 -0800
-0.134720,-0.981201,-0.005920,0.990424,5348.142764,2000-12-31 17:29:08.143 -0800
-0.173874,-0.984909,-0.010376,1.000193,5348.113222,2000-12-31 17:29:08.113 -0800
-0.187042,-0.957458,-0.029922,0.976016,5348.083679,2000-12-31 17:29:08.084 -0800
-0.165741,-0.969666,-0.051956,0.985099,5348.054132,2000-12-31 17:29:08.054 -0800
-0.212753,-0.956482,-0.027252,0.980237,5348.024594,2000-12-31 17:29:08.025 -0800
-0.174530,-0.974960,-0.023880,0.990746,5347.995051,2000-12-31 17:29:07.995 -0800
-0.136490,-0.988586,-0.022095,0.998209,5347.965508,2000-12-31 17:29:07.966 -0800
-0.120453,-0.991379,0.008881,0.998709,5347.935967,2000-12-31 17:29:07.936 -0800
-0.070969,-0.998093,0.022339,1.000862,5347.906427,2000-12-31 17:29:07.906 -0800
-0.043213,-0.990448,0.020370,0.991599,5347.876879,2000-12-31 17:29:07.877 -0800
-0.086014,-0.987000,0.041916,0.991627,5347.847341,2000-12-31 17:29:07.847 -0800
-0.099396,-1.003586,0.046600,1.009572,5347.817797,2000-12-31 17:29:07.818 -0800
-0.095718,-1.005447,0.017761,1.010149,5347.788253,2000-12-31 17:29:07.788 -0800
-0.075089,-0.990448,0.012909,0.993374,5347.758709,2000-12-31 17:29:07.759 -0800
-0.120346,-0.992325,0.004761,0.999607,5347.729164,2000-12-31 17:29:07.729 -0800
-0.118011,-0.981888,0.020264,0.989162,5347.699619,2000-12-31 17:29:07.700 -0800
-0.180161,-0.973145,-0.019608,0.989875,5347.670077,2000-12-31 17:29:07.670 -0800
-0.198456,-0.992905,-0.001282,1.012544,5347.640535,2000-12-31 17:29:07.641 -0800
-0.205032,-0.956619,-0.050903,0.979668,5347.610993,2000-12-31 17:29:07.611 -0800
-0.163727,-0.960800,-0.029968,0.975111,5347.581451,2000-12-31 17:29:07.581 -0800
-0.192566,-0.959763,-0.033707,0.979470,5347.551906,2000-12-31 17:29:07.552 -0800
-0.174942,-0.960693,-0.055664,0.978077,5347.522364,2000-12-31 17:29:07.522 -0800
-0.159592,-0.981415,-0.054825,0.995816,5347.492819,2000-12-31 17:29:07.493 -0800
