x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.163422,-0.247986,-0.965912,1.010539,1004532.460173,2001-01-12 07:02:12.460 -0800
0.158234,-0.202866,-1.026566,1.058314,1004532.432582,2001-01-12 07:02:12.433 -0800
0.122330,-0.227844,-0.971191,1.005032,1004532.404852,2001-01-12 07:02:12.405 -0800
0.070572,-0.176880,-0.977905,0.996276,1004532.377259,2001-01-12 07:02:12.377 -0800
0.069199,-0.173599,-0.961487,0.979480,1004532.349667,2001-01-12 07:02:12.350 -0800
0.052551,-0.156662,-0.949707,0.963975,1004532.322075,2001-01-12 07:02:12.322 -0800
0.077515,-0.169952,-0.940079,0.958457,1004532.294482,2001-01-12 07:02:12.294 -0800
0.092438,-0.159607,-0.944321,0.962165,1004532.266751,2001-01-12 07:02:12.267 -0800
0.107330,-0.163773,-0.991776,1.010920,1004532.239157,2001-01-12 07:02:12.239 -0800
0.116776,-0.147949,-0.991608,1.009362,1004532.211563,2001-01-12 07:02:12.212 -0800
0.177139,-0.220367,-0.980591,1.020538,1004532.183968,2001-01-12 07:02:12.184 -0800
0.158752,-0.223129,-0.939133,0.978243,1004532.156375,2001-01-12 07:02:12.156 -0800
0.141174,-0.195984,-0.950226,0.980443,1004532.128646,2001-01-12 07:02:12.129 -0800
0.123032,-0.203278,-0.927658,0.957605,1004532.101055,2001-01-12 07:02:12.101 -0800
0.050323,-0.147003,-0.913757,0.926874,1004532.073460,2001-01-12 07:02:12.073 -0800
0.074768,-0.134476,-1.026733,1.038198,1004532.045863,2001-01-12 07:02:12.046 -0800
0.072937,-0.142944,-1.022247,1.034767,1004532.018265,2001-01-12 07:02:12.018 -0800
0.005341,-0.117233,-0.961243,0.968380,1004531.990541,2001-01-12 07:02:11.991 -0800
0.006851,-0.140411,-0.968079,0.978232,1004531.962950,2001-01-12 07:02:11.963 -0800
0.004700,-0.132187,-0.937073,0.946362,1004531.935357,2001-01-12 07:02:11.935 -0800
0.004028,-0.097565,-0.983658,0.988493,1004531.907763,2001-01-12 07:02:11.908 -0800
0.053986,-0.066254,-1.040115,1.043621,1004531.880172,2001-01-12 07:02:11.880 -0800
0.046875,-0.027435,-1.068466,1.069846,1004531.852444,2001-01-12 07:02:11.852 -0800
0.008179,0.046967,-1.114990,1.116009,1004531.824853,2001-01-12 07:02:11.825 -0800
-0.016647,0.046158,-1.062378,1.063510,1004531.797260,2001-01-12 07:02:11.797 -0800
0.016190,-0.015442,-0.986694,0.986948,1004531.769665,2001-01-12 07:02:11.770 -0800
0.049988,-0.088257,-0.920639,0.926210,1004531.742071,2001-01-12 07:02:11.742 -0800
0.090759,-0.111343,-1.002914,1.013150,1004531.714341,2001-01-12 07:02:11.714 -0800
0.108704,-0.076019,-1.060776,1.069037,1004531.686746,2001-01-12 07:02:11.687 -0800
0.125839,-0.167191,-0.967621,0.989989,1004531.659149,2001-01-12 07:02:11.659 -0800
0.158951,-0.170639,-0.988907,1.016031,1004531.631563,2001-01-12 07:02:11.632 -0800
0.129776,-0.223099,-0.960815,0.994877,1004531.603973,2001-01-12 07:02:11.604 -0800
0.016479,-0.172058,-0.994598,1.009506,1004531.576242,2001-01-12 07:02:11.576 -0800
0.009277,-0.138596,-0.983734,0.993493,1004531.548648,2001-01-12 07:02:11.549 -0800
-0.021530,-0.143097,-0.894699,0.906326,1004531.521053,2001-01-12 07:02:11.521 -0800
-0.035126,-0.185486,-0.845520,0.866339,1004531.493458,2001-01-12 07:02:11.493 -0800
