x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.128723,-0.373108,-0.916107,0.997513,9640.443086,2000-12-31 18:40:40.443 -0800
0.128860,-0.367157,-1.024368,1.095783,9640.414225,2000-12-31 18:40:40.414 -0800
0.224762,-0.426620,-0.901245,1.022138,9640.385456,2000-12-31 18:40:40.385 -0800
0.129578,-0.352631,-1.002243,1.070341,9640.356581,2000-12-31 18:40:40.357 -0800
0.093613,-0.347580,-0.957596,1.023018,9640.327576,2000-12-31 18:40:40.328 -0800
0.053894,-0.332581,-0.914261,0.974365,9640.298812,2000-12-31 18:40:40.299 -0800
0.055893,-0.324585,-0.886490,0.945697,9640.269914,2000-12-31 18:40:40.270 -0800
0.102585,-0.358444,-0.893600,0.968260,9640.241041,2000-12-31 18:40:40.241 -0800
0.164185,-0.385330,-0.899246,0.992008,9640.212042,2000-12-31 18:40:40.212 -0800
0.177475,-0.372894,-0.868149,0.961369,9640.183285,2000-12-31 18:40:40.183 -0800
0.155273,-0.357727,-0.883133,0.965403,9640.154392,2000-12-31 18:40:40.154 -0800
0.135010,-0.371063,-0.813019,0.903834,9640.125522,2000-12-31 18:40:40.126 -0800
0.123795,-0.383026,-0.795914,0.891915,9640.096515,2000-12-31 18:40:40.097 -0800
0.098831,-0.382828,-0.772385,0.867700,9640.067755,2000-12-31 18:40:40.068 -0800
0.058121,-0.355743,-0.803101,0.880285,9640.038748,2000-12-31 18:40:40.039 -0800
0.031937,-0.332275,-0.819611,0.884979,9640.009991,2000-12-31 18:40:40.010 -0800
0.007675,-0.282898,-0.778595,0.828432,9639.980991,2000-12-31 18:40:39.981 -0800
0.003403,-0.227493,-0.726395,0.761192,9639.952230,2000-12-31 18:40:39.952 -0800
-0.009842,-0.166107,-0.715103,0.734208,9639.923328,2000-12-31 18:40:39.923 -0800
0.023682,-0.099777,-0.800919,0.807457,9639.894461,2000-12-31 18:40:39.894 -0800
0.090942,-0.037125,-0.895523,0.900894,9639.865467,2000-12-31 18:40:39.865 -0800
0.198471,-0.019501,-0.974655,0.994849,9639.836590,2000-12-31 18:40:39.837 -0800
0.277588,0.005936,-1.049973,1.086063,9639.807759,2000-12-31 18:40:39.808 -0800
0.319397,0.070084,-1.137756,1.183814,9639.778980,2000-12-31 18:40:39.779 -0800
0.376221,0.106552,-1.146240,1.211100,9639.750100,2000-12-31 18:40:39.750 -0800
0.486328,0.092072,-1.204285,1.302034,9639.721175,2000-12-31 18:40:39.721 -0800
0.611588,0.052597,-1.510635,1.630590,9639.692173,2000-12-31 18:40:39.692 -0800
0.588409,0.138992,-1.667252,1.773492,9639.663336,2000-12-31 18:40:39.663 -0800
0.465851,0.240540,-1.589752,1.673974,9639.634407,2000-12-31 18:40:39.634 -0800
0.382828,0.158493,-1.575211,1.628793,9639.605540,2000-12-31 18:40:39.606 -0800
0.319626,0.093079,-1.425049,1.463417,9639.576641,2000-12-31 18:40:39.577 -0800
0.170776,0.080582,-1.155182,1.170514,9639.547896,2000-12-31 18:40:39.548 -0800
0.059982,0.032593,-1.030319,1.032578,9639.519017,2000-12-31 18:40:39.519 -0800
0.025574,-0.044281,-0.937958,0.939351,9639.490024,2000-12-31 18:40:39.490 -0800
0.018265,-0.108261,-0.799286,0.806791,9639.461117,2000-12-31 18:40:39.461 -0800
0.025116,-0.153534,-0.766953,0.782572,9639.432343,2000-12-31 18:40:39.432 -0800
0.065002,-0.230057,-0.806702,0.841379,9639.403452,2000-12-31 18:40:39.403 -0800
0.123962,-0.271149,-0.840424,0.891740,9639.374584,2000-12-31 18:40:39.375 -0800
0.195282,-0.369919,-0.847687,0.945277,9639.345581,2000-12-31 18:40:39.346 -0800
0.093781,-0.327682,-0.705139,0.783193,9639.316819,2000-12-31 18:40:39.317 -0800
-0.037872,-0.312317,-0.516678,0.604923,9639.287916,2000-12-31 18:40:39.288 -0800
-0.061432,-0.415405,-0.449722,0.615293,9639.259046,2000-12-31 18:40:39.259 -0800
-0.035141,-0.453964,-0.498520,0.675160,9639.230044,2000-12-31 18:40:39.230 -0800
-0.040161,-0.432663,-0.560043,0.708843,9639.201287,2000-12-31 18:40:39.201 -0800
-0.071472,-0.378952,-0.530609,0.655941,9639.172389,2000-12-31 18:40:39.172 -0800
-0.053009,-0.364319,-0.551559,0.663141,9639.143515,2000-12-31 18:40:39.144 -0800
-0.011429,-0.370651,-0.611984,0.715568,9639.114733,2000-12-31 18:40:39.115 -0800
0.009262,-0.302689,-0.710358,0.772214,9639.085754,2000-12-31 18:40:39.086 -0800
-0.009659,-0.186508,-0.779053,0.801125,9639.056859,2000-12-31 18:40:39.057 -0800
0.003342,-0.117065,-0.885223,0.892937,9639.027998,2000-12-31 18:40:39.028 -0800
