timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478365205.75,0.155843,0.437827,1.033598,-0.008134,-0.061651,0.019549,0.140572,-0.423973,-0.894699,0.006583,-0.005501,-0.005203,17.093628,-20.391718,-24.625900,,,,,,
1478365205.77,0.154285,0.438066,1.034139,-0.018734,-0.067751,0.025433,0.139163,-0.424189,-0.894817,0.001676,-0.004873,0.003292,17.093628,-20.391718,-24.625900,,,,,,
1478365205.79,0.152790,0.437719,1.034879,0.011900,-0.043288,0.027322,0.137847,-0.423874,-0.895170,0.000001,0.003312,-0.002673,17.039280,-20.407927,-24.650127,,,,,,
,,,,,,,,,,,,,,,,37.354364,-122.024524,45.243744,0.000000,-1.000000,1478365013.00
,,,,,,,,,,,,,,,,37.354364,-122.024524,45.243744,0.000000,-1.000000,1478365005.00
,,,,,,,,,,,,,,,,37.354364,-122.024524,45.243744,0.000000,-1.000000,1478365013.00
1478365205.81,0.151627,0.437965,1.035531,0.002476,-0.048146,0.025888,0.136790,-0.424098,-0.895226,-0.002040,0.000056,-0.007179,17.009188,-20.406975,-24.671684,,,,,,
1478365205.84,0.150704,0.438145,1.036026,0.006022,-0.024639,0.019801,0.135953,-0.424260,-0.895277,0.000308,-0.003947,0.002851,16.959942,-20.425962,-24.689873,,,,,,
1478365205.86,0.150154,0.438648,1.036661,0.044917,0.025749,0.021828,0.135428,-0.424716,-0.895140,-0.006689,-0.001050,-0.008440,16.959942,-20.425962,-24.689873,,,,,,
1478365205.88,0.151060,0.440586,1.037120,0.011964,0.053326,0.018547,0.136115,-0.426469,-0.894202,-0.002646,0.001848,0.029501,16.933233,-20.489208,-24.655773,,,,,,
1478365205.90,0.152454,0.440109,1.037695,-0.048074,0.082395,0.020744,0.137392,-0.426038,-0.894212,-0.003924,0.001416,0.029512,16.933233,-20.489208,-24.655773,,,,,,
1478365205.92,0.155295,0.438186,1.038412,-0.117489,0.180923,0.015228,0.140059,-0.424298,-0.894626,-0.011244,-0.013187,0.036960,16.982933,-20.497318,-24.614815,,,,,,
1478365205.94,0.160583,0.436799,1.038751,-0.158684,0.199875,0.031351,0.144881,-0.423041,-0.894453,0.017350,-0.016152,0.021803,17.041748,-20.461319,-24.604113,,,,,,
1478365205.96,0.166903,0.433780,1.040314,-0.179817,0.251936,0.110287,0.150743,-0.420304,-0.894774,0.031020,-0.011016,0.001327,17.219360,-20.394032,-24.536222,,,,,,
1478365205.98,0.170773,0.430844,1.044381,-0.156239,0.261494,0.167115,0.154414,-0.417638,-0.895396,0.031698,-0.010875,-0.010915,17.219360,-20.394032,-24.536222,,,,,,
1478365206.01,0.173798,0.428467,1.049757,-0.139750,0.233965,0.226304,0.157292,-0.415477,-0.895901,0.026011,-0.001851,-0.021717,17.431538,-20.329693,-24.439606,,,,,,
1478365206.03,0.175620,0.426591,1.056350,-0.129150,0.205255,0.285358,0.159061,-0.413770,-0.896379,0.019864,-0.001468,-0.025985,17.431538,-20.329693,-24.439606,,,,,,
1478365206.05,0.177267,0.426339,1.063425,-0.016093,0.215286,0.286768,0.160555,-0.413541,-0.896218,0.014539,0.016568,-0.062645,17.431770,-20.372139,-24.404068,,,,,,
